"No.","Time","Source","Destination","Protocol","Length","Delay since first TCP frame in stream","Delay since previous TCP frame in stream","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","0.000000000","0.000000000","53130  >  8822 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=3015737484 TSecr=0 WS=128"
"2","0.000016052","127.0.0.1","127.0.0.1","TCP","74","0.000016052","0.000016052","8822  >  53130 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3015737484 TSecr=3015737484 WS=128"
"3","0.000030201","127.0.0.1","127.0.0.1","TCP","66","0.000030201","0.000014149","53130  >  8822 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3015737484 TSecr=3015737484"
"4","0.003297333","127.0.0.1","127.0.0.1","TLSv1.3","418","0.003297333","0.003267132","Client Hello"
"5","0.003318381","127.0.0.1","127.0.0.1","TCP","66","0.003318381","0.000021048","8822  >  53130 [ACK] Seq=1 Ack=353 Win=65152 Len=0 TSval=3015737487 TSecr=3015737487"
"6","0.011744000","127.0.0.1","127.0.0.1","TLSv1.3","2253","0.011744000","0.008425619","Server Hello, Change Cipher Spec, Encrypted Extensions, Certificate, Certificate Verify, Finished"
"7","0.011761060","127.0.0.1","127.0.0.1","TCP","66","0.011761060","0.000017060","53130  >  8822 [ACK] Seq=353 Ack=2188 Win=63872 Len=0 TSval=3015737496 TSecr=3015737496"
"8","0.013609745","127.0.0.1","127.0.0.1","HTTP2","237","0.013609745","0.001848685","Magic, SETTINGS[0]"
"9","0.013625997","127.0.0.1","127.0.0.1","TCP","66","0.013625997","0.000016252","8822  >  53130 [ACK] Seq=2188 Ack=524 Win=65408 Len=0 TSval=3015737498 TSecr=3015737498"
"10","0.014132836","127.0.0.1","127.0.0.1","HTTP2","643","0.014132836","0.000506839","SETTINGS[0]"
"11","0.014147577","127.0.0.1","127.0.0.1","TCP","66","0.014147577","0.000014741","53130  >  8822 [ACK] Seq=524 Ack=2765 Win=65024 Len=0 TSval=3015737498 TSecr=3015737498"
"12","0.014555577","127.0.0.1","127.0.0.1","HTTP2","97","0.014555577","0.000408000","SETTINGS[0]"
"13","0.014561959","127.0.0.1","127.0.0.1","TCP","66","0.014561959","0.000006382","53130  >  8822 [ACK] Seq=524 Ack=2796 Win=65024 Len=0 TSval=3015737499 TSecr=3015737499"
"14","0.020742941","127.0.0.1","127.0.0.1","HTTP2","32834","0.020742941","0.006180982","HEADERS[1]: POST /post/0-60_18314587645695,24_831518950092683"
"15","0.020793788","127.0.0.1","127.0.0.1","TCP","66","0.020793788","0.000050847","8822  >  53130 [ACK] Seq=2796 Ack=33292 Win=48512 Len=0 TSval=3015737505 TSecr=3015737505"
"16","0.020851027","127.0.0.1","127.0.0.1","HTTP2","20049","0.020851027","0.000057239","DATA[1][TLS segment of a reassembled PDU], DATA[1], DATA[1], DATA[1], DATA[1]"
"17","0.020868741","127.0.0.1","127.0.0.1","TCP","66","0.020868741","0.000017714","8822  >  53130 [ACK] Seq=2796 Ack=53275 Win=37888 Len=0 TSval=3015737505 TSecr=3015737505"
