"No.","Time","Source","Destination","Protocol","Length","Delay since first TCP frame in stream","Delay since previous TCP frame in stream","Info"
"1","0.000000000","127.0.0.1","127.0.0.1","TCP","74","0.000000000","0.000000000","53302  >  8822 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=3016887221 TSecr=0 WS=128"
"2","0.000043451","127.0.0.1","127.0.0.1","TCP","74","0.000043451","0.000043451","8822  >  53302 [SYN, ACK] Seq=0 Ack=1 Win=65483 Len=0 MSS=65495 SACK_PERM=1 TSval=3016887221 TSecr=3016887221 WS=128"
"3","0.000084698","127.0.0.1","127.0.0.1","TCP","66","0.000084698","0.000041247","53302  >  8822 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=3016887221 TSecr=3016887221"
"4","0.005949528","127.0.0.1","127.0.0.1","TLSv1.3","418","0.005949528","0.005864830","Client Hello"
"5","0.005991361","127.0.0.1","127.0.0.1","TCP","66","0.005991361","0.000041833","8822  >  53302 [ACK] Seq=1 Ack=353 Win=65152 Len=0 TSval=3016887227 TSecr=3016887227"
"6","0.014606461","127.0.0.1","127.0.0.1","TLSv1.3","2253","0.014606461","0.008615100","Server Hello, Change Cipher Spec, Encrypted Extensions, Certificate, Certificate Verify, Finished"
"7","0.014635487","127.0.0.1","127.0.0.1","TCP","66","0.014635487","0.000029026","53302  >  8822 [ACK] Seq=353 Ack=2188 Win=63872 Len=0 TSval=3016887236 TSecr=3016887236"
"8","0.016424750","127.0.0.1","127.0.0.1","HTTP2","237","0.016424750","0.001789263","Magic, SETTINGS[0]"
"9","0.016445028","127.0.0.1","127.0.0.1","TCP","66","0.016445028","0.000020278","8822  >  53302 [ACK] Seq=2188 Ack=524 Win=65408 Len=0 TSval=3016887238 TSecr=3016887238"
"10","0.017369596","127.0.0.1","127.0.0.1","HTTP2","643","0.017369596","0.000924568","SETTINGS[0]"
"11","0.017398646","127.0.0.1","127.0.0.1","TCP","66","0.017398646","0.000029050","53302  >  8822 [ACK] Seq=524 Ack=2765 Win=65024 Len=0 TSval=3016887239 TSecr=3016887239"
"12","0.018207177","127.0.0.1","127.0.0.1","HTTP2","97","0.018207177","0.000808531","SETTINGS[0]"
"13","0.018224646","127.0.0.1","127.0.0.1","TCP","66","0.018224646","0.000017469","53302  >  8822 [ACK] Seq=524 Ack=2796 Win=65024 Len=0 TSval=3016887240 TSecr=3016887240"
